"統一編號","公司名稱","公司地址","公司狀態"
"75094900","中華工程股份有限公司","臺北市松山區新聚里東興路12號6樓","01"
"23535435","欣興電子股份有限公司","桃園市龜山區山鶯路179號","01"
"14067826","兆豐票券金融股份有限公司","臺北市中正區衡陽路91號地下1樓、2-5樓、10樓","01"
"04370927","金寶電子工業股份有限公司","臺北市松山區南京東路五段99號10樓","01"
"85122834","大彰化西南離岸風力發電股份有限公司","彰化縣彰化市華山路37號11樓之2","01"
"83477590","連線商業銀行股份有限公司","臺北市內湖區瑞光路333號3樓及4樓","01"
"16095410","台北金融大樓股份有限公司","臺北市信義區市府路45號B1-5F、B1之1、4F之1及6F之1、信義路五段7號59-60樓、89樓、101樓","01"
"23218183","統一綜合證券股份有限公司","臺北市松山區新聚里東興路8號1~7樓、11樓、12樓及地下1樓","01"
"11072509","三福氣體股份有限公司","臺北市中山區中山北路二段21號5樓","01"
"07838854","中鴻鋼鐵股份有限公司","高雄市橋頭區芋寮里芋寮路317號","01"
"83095755","仲昱電業股份有限公司","臺北市內湖區瑞光路362號8樓","01"
"03521905","遠東百貨股份有限公司","新北市板橋區新站路16號18樓","01"
"23707801","鴻準精密工業股份有限公司","新北市土城區中山路3之2號","01"
"29068963","頂基開發股份有限公司","臺北市內湖區內湖路1段66號6樓","01"
"04748660","聯成化學科技股份有限公司","臺北市南港區南港路一段209號A棟9樓","01"
"84149385","力晶創新投資控股股份有限公司","臺北市中山區南京東路三段70號15樓","01"
"84703052","遠雄人壽保險事業股份有限公司","臺北市信義區松高路1號28樓","01"
"16096852","和平電力股份有限公司","花蓮縣秀林鄉和平村和工二路7號","01"
"23469224","台泥綠能股份有限公司","彰化縣線西鄉塭仔村彰濱東一路11號","01"
"12198359","中華票券金融股份有限公司","臺北市內湖區堤頂大道二段99號4樓","01"
"03559508","臺灣證券交易所股份有限公司","臺北市信義區西村里8鄰信義路五段7號9樓","01"
"34202841","榮成紙業股份有限公司","彰化縣二林鎮廣興里廣興巷1之1號","01"
"16095002","統一國際開發股份有限公司","臺北市信義區松高路11號10樓","01"
"84442590","凱友投資股份有限公司","臺南市永康區自強路340號","01"
"16831570","華泰商業銀行股份有限公司","臺北市中山區長安東路二段246號1樓、2樓、6樓、6樓之1、6樓之2","01"
"52687706","哥本哈根基礎設施彰芳股份有限公司","臺北市信義區忠孝東路五段68號26樓","01"
"23826861","精碟科技股份有限公司","新北市五股區興珍里五權七路13號4樓","01"
"04695235","台灣國際造船股份有限公司","高雄市小港區中鋼路3號","01"
"80032258","富邦金控創業投資股份有限公司","臺北市信義區松高路77號10樓","01"
"84498860","文曄科技股份有限公司","新北市中和區平河里中正路738號14樓","01"
"23525871","新光三越百貨股份有限公司","臺北市信義區松高路19號7、8、9樓","01"
"52367648","長億實業股份有限公司","臺中市西屯區臺灣大道二段910號5樓之7","01"
"28674272","復盛股份有限公司","臺北市中山區南京東路二段172號1、2、3樓","01"
"22507241","京元電子股份有限公司","新竹市東區埔頂里公道五路二段81號","01"
"84149786","晶元光電股份有限公司","新竹科學園區新竹市力行路21號","01"
"53677966","神達控股股份有限公司","桃園市龜山區文化二路202號","01"
"16834703","新安東京海上產物保險股份有限公司","臺北市中山區南京東路3段130號8-13樓","01"
"83304676","大彰化西北離岸風力發電股份有限公司","彰化縣彰化市華山路37號11樓之2","01"
"70783499","森霸電力股份有限公司","臺南市山上區豐德里隙子口66號","01"
"50806207","中發控股股份有限公司","高雄市前鎮區成功二路88號15樓","01"
"83529470","中能發電股份有限公司","彰化縣彰化市中華西路369號10樓之1","01"
